[# ERROR | 2019-08-20 | 20:06:14.841 | PID=10536 | ThreadId=7616 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:14.971 | PID=10536 | ThreadId=10872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:15.071 | PID=10536 | ThreadId=10872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:15.170 | PID=10536 | ThreadId=10872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:15.272 | PID=10536 | ThreadId=10872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:15.371 | PID=10536 | ThreadId=10872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:15.474 | PID=10536 | ThreadId=10872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:15.570 | PID=10536 | ThreadId=10872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:15.672 | PID=10536 | ThreadId=10872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:15.771 | PID=10536 | ThreadId=10872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:15.872 | PID=10536 | ThreadId=10872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:15.972 | PID=10536 | ThreadId=10872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
